time,abp
0,6832.0
1,6928.0
2,6968.0
3,6992.0
4,6980.0
5,6956.0
6,6900.0
7,6840.0
8,6748.0
9,6656.0
10,6544.0
11,6424.0
12,6328.0
13,6208.0
14,6128.0
15,6020.0
16,5924.0
17,5824.0
18,5748.0
19,5688.0
20,5624.0
21,5572.0
22,5520.0
23,5472.0
24,5448.0
25,5416.0
26,5388.0
27,5388.0
28,5376.0
29,5376.0
30,5376.0
31,5380.0
32,5380.0
33,5392.0
34,5408.0
35,5428.0
36,5460.0
37,5476.0
38,5480.0
39,5488.0
40,5508.0
41,5488.0
42,5492.0
43,5488.0
44,5480.0
45,5460.0
46,5428.0
47,5388.0
48,5332.0
49,5284.0
50,5228.0
51,5192.0
52,5148.0
53,5124.0
54,5076.0
55,5052.0
56,5024.0
57,5012.0
58,4988.0
59,4968.0
60,4972.0
61,4984.0
62,4976.0
63,4976.0
64,4996.0
65,4996.0
66,5012.0
67,5016.0
68,5016.0
69,5028.0
70,5028.0
71,5020.0
72,5024.0
73,5020.0
74,5040.0
75,5032.0
76,5032.0
77,5024.0
78,5008.0
79,4996.0
80,4972.0
81,4960.0
82,4924.0
83,4908.0
84,4884.0
85,4872.0
86,4848.0
87,4804.0
88,4780.0
89,4752.0
90,4728.0
91,4700.0
92,4676.0
93,4640.0
94,4616.0
95,4600.0
96,4568.0
97,4556.0
98,4544.0
99,4528.0
100,4500.0
101,4484.0
102,4456.0
103,4444.0
104,4428.0
105,4412.0
106,4408.0
107,4404.0
108,4388.0
109,4348.0
110,4360.0
111,4340.0
112,4324.0
113,4308.0
114,4316.0
115,4300.0
116,4292.0
117,4280.0
118,4296.0
119,4292.0
120,4272.0
121,4264.0
122,4252.0
123,4256.0
124,4252.0
125,4244.0
126,4240.0
127,4228.0
128,4232.0
129,4224.0
130,4192.0
131,4204.0
132,4208.0
133,4212.0
134,4200.0
135,4188.0
136,4184.0
137,4176.0
138,4188.0
139,4196.0
140,4172.0
141,4180.0
142,4176.0
143,4180.0
144,4172.0
145,4160.0
146,4168.0
147,4156.0
148,4168.0
149,4164.0
150,4144.0
151,4124.0
152,4140.0
153,4136.0
154,4124.0
155,4120.0
156,4120.0
157,4124.0
158,4116.0
159,4120.0
160,4116.0
161,4092.0
162,4084.0
163,4080.0
164,4084.0
165,4084.0
166,4056.0
167,4060.0
168,4056.0
169,4052.0
170,4024.0
171,4036.0
172,4012.0
173,4016.0
174,4000.0
175,3984.0
176,3980.0
177,3968.0
178,3956.0
179,3952.0
180,3932.0
181,3944.0
182,3928.0
183,3912.0
184,3900.0
185,3912.0
186,3900.0
187,3884.0
188,3900.0
189,3920.0
190,3952.0
191,3988.0
192,4040.0
193,4108.0
194,4200.0
195,4324.0
196,4492.0
197,4640.0
198,4848.0
199,5056.0
200,5288.0
201,5504.0
202,5740.0
203,5976.0
204,6180.0
205,6364.0
206,6532.0
207,6660.0
208,6752.0
209,6832.0
210,6880.0
211,6900.0
212,6884.0
213,6852.0
214,6800.0
215,6736.0
216,6648.0
217,6544.0
218,6424.0
219,6324.0
220,6188.0
221,6080.0
222,5980.0
223,5880.0
224,5780.0
225,5704.0
226,5616.0
227,5540.0
228,5468.0
229,5416.0
230,5340.0
231,5312.0
232,5284.0
233,5260.0
234,5232.0
235,5228.0
236,5208.0
237,5192.0
238,5200.0
239,5200.0
240,5192.0
241,5212.0
242,5228.0
243,5256.0
244,5268.0
245,5272.0
246,5300.0
247,5316.0
248,5320.0
249,5316.0
250,5312.0
251,5312.0
252,5300.0
253,5280.0
254,5236.0
255,5188.0
256,5156.0
257,5128.0
258,5092.0
259,5044.0
260,4992.0
261,4984.0
262,4940.0
263,4924.0
264,4920.0
265,4904.0
266,4912.0
267,4880.0
268,4888.0
269,4896.0
270,4888.0
271,4904.0
272,4908.0
273,4912.0
274,4908.0
275,4936.0
276,4924.0
277,4936.0
278,4940.0
279,4952.0
280,4952.0
281,4940.0
282,4940.0
283,4932.0
284,4932.0
285,4912.0
286,4908.0
287,4900.0
288,4876.0
289,4864.0
290,4836.0
291,4800.0
292,4772.0
293,4772.0
294,4720.0
295,4684.0
296,4672.0
297,4648.0
298,4616.0
299,4592.0
300,4572.0
301,4532.0
302,4524.0
303,4492.0
304,4480.0
305,4460.0
306,4432.0
307,4420.0
308,4392.0
309,4384.0
310,4380.0
311,4360.0
312,4344.0
313,4336.0
314,4308.0
315,4316.0
316,4300.0
317,4296.0
318,4272.0
319,4260.0
320,4252.0
321,4236.0
322,4252.0
323,4236.0
324,4220.0
325,4220.0
326,4216.0
327,4208.0
328,4200.0
329,4184.0
330,4192.0
331,4180.0
332,4184.0
333,4172.0
334,4164.0
335,4172.0
336,4168.0
337,4172.0
338,4160.0
339,4168.0
340,4164.0
341,4160.0
342,4168.0
343,4164.0
344,4152.0
345,4168.0
346,4152.0
347,4148.0
348,4140.0
349,4136.0
350,4148.0
351,4136.0
352,4140.0
353,4148.0
354,4144.0
355,4136.0
356,4132.0
357,4128.0
358,4124.0
359,4116.0
360,4128.0
361,4120.0
362,4116.0
363,4096.0
364,4108.0
365,4108.0
366,4092.0
367,4076.0
368,4096.0
369,4084.0
370,4072.0
371,4068.0
372,4056.0
373,4044.0
374,4044.0
375,4032.0
376,4012.0
377,4016.0
378,3996.0
379,3992.0
380,3972.0
381,3972.0
382,3956.0
383,3940.0
384,3920.0
385,3924.0
386,3900.0
387,3888.0
388,3892.0
389,3892.0
390,3880.0
391,3876.0
392,3868.0
393,3888.0
394,3912.0
395,3932.0
396,3984.0
397,4044.0
398,4140.0
399,4224.0
400,4364.0
401,4508.0
402,4708.0
403,4900.0
404,5116.0
405,5332.0
406,5568.0
407,5792.0
408,6008.0
409,6204.0
410,6360.0
411,6512.0
412,6628.0
413,6708.0
414,6776.0
415,6812.0
416,6804.0
417,6784.0
418,6736.0
419,6672.0
420,6576.0
421,6492.0
422,6380.0
423,6276.0
424,6180.0
425,6064.0
426,5952.0
427,5848.0
428,5744.0
429,5664.0
430,5556.0
431,5496.0
432,5408.0
433,5344.0
434,5280.0
435,5240.0
436,5196.0
437,5180.0
438,5152.0
439,5132.0
440,5120.0
441,5096.0
442,5104.0
443,5104.0
444,5084.0
445,5104.0
446,5112.0
447,5112.0
448,5124.0
449,5148.0
450,5160.0
451,5180.0
452,5176.0
453,5160.0
454,5164.0
455,5160.0
456,5136.0
457,5128.0
458,5100.0
459,5080.0
460,5028.0
461,5000.0
462,4956.0
463,4924.0
464,4888.0
465,4868.0
466,4840.0
467,4832.0
