model_size,n_epochs,dataset_percent,masked_percent,n_windows,windows,error,window
small,10,0.15,0.25,8,Unknown,Non registered error,Unknown
small,10,0.15,0.25,10,Unknown,Non registered error,Unknown
small,10,0.15,0.5,8,Unknown,Non registered error,Unknown
small,10,0.15,0.5,10,Unknown,Non registered error,Unknown
small,10,0.15,0.75,8,Unknown,Non registered error,Unknown
small,10,0.15,0.75,10,Unknown,Non registered error,Unknown
small,10,0.2,0.25,8,Unknown,Non registered error,Unknown
small,10,0.2,0.25,10,Unknown,Non registered error,Unknown
small,10,0.2,0.5,8,Unknown,Non registered error,Unknown
small,10,0.2,0.5,10,Unknown,Non registered error,Unknown
small,10,0.2,0.75,8,Unknown,Non registered error,Unknown
small,10,0.2,0.75,10,Unknown,Non registered error,Unknown
small,10,0.25,0.25,8,Unknown,Non registered error,Unknown
small,10,0.25,0.25,10,Unknown,Non registered error,Unknown
small,10,0.25,0.5,8,Unknown,Non registered error,Unknown
small,10,0.25,0.5,10,Unknown,Non registered error,Unknown
small,10,0.25,0.75,8,Unknown,Non registered error,Unknown
small,10,0.25,0.75,10,Unknown,Non registered error,Unknown
