,model_size,n_epochs,dataset_percent,maskared_percent,n_windows,error,window,windows
0,small,5,0.25,0.25,,maximum size for tensor at dimension 2 is 4 but size is 8,4,"[17, 12, 10, 16, 8, 13, 4, 19, 20]"
0,small,5,0.25,0.25,,maximum size for tensor at dimension 2 is 4 but size is 8,4,"[17, 12, 10, 16, 8, 13, 4, 19, 20, 3, 18]"
0,small,5,0.25,0.25,,maximum size for tensor at dimension 2 is 3 but size is 8,3,"[17, 12, 10, 16, 8, 13, 4, 19, 20, 3, 18]"
0,small,5,0.25,0.25,,maximum size for tensor at dimension 2 is 4 but size is 8,4,"[17, 12, 10, 16, 8, 13, 4, 19, 20, 3, 18, 5, 11, 2]"
0,small,5,0.25,0.25,,maximum size for tensor at dimension 2 is 3 but size is 8,3,"[17, 12, 10, 16, 8, 13, 4, 19, 20, 3, 18, 5, 11, 2]"
0,small,5,0.25,0.25,,maximum size for tensor at dimension 2 is 5 but size is 8,5,"[17, 12, 10, 16, 8, 13, 4, 19, 20, 3, 18, 5, 11, 2]"
0,small,5,0.25,0.25,,maximum size for tensor at dimension 2 is 2 but size is 8,2,"[17, 12, 10, 16, 8, 13, 4, 19, 20, 3, 18, 5, 11, 2]"
0,small,5,0.25,0.5,,maximum size for tensor at dimension 2 is 4 but size is 8,4,"[17, 12, 10, 16, 8, 13, 4, 19, 20]"
0,small,5,0.25,0.5,,maximum size for tensor at dimension 2 is 4 but size is 8,4,"[17, 12, 10, 16, 8, 13, 4, 19, 20, 3, 18]"
0,small,5,0.25,0.5,,maximum size for tensor at dimension 2 is 3 but size is 8,3,"[17, 12, 10, 16, 8, 13, 4, 19, 20, 3, 18]"
0,small,5,0.25,0.5,,maximum size for tensor at dimension 2 is 4 but size is 8,4,"[17, 12, 10, 16, 8, 13, 4, 19, 20, 3, 18, 5, 11, 2]"
0,small,5,0.25,0.5,,maximum size for tensor at dimension 2 is 3 but size is 8,3,"[17, 12, 10, 16, 8, 13, 4, 19, 20, 3, 18, 5, 11, 2]"
0,small,5,0.25,0.5,,maximum size for tensor at dimension 2 is 5 but size is 8,5,"[17, 12, 10, 16, 8, 13, 4, 19, 20, 3, 18, 5, 11, 2]"
0,small,5,0.25,0.5,,maximum size for tensor at dimension 2 is 2 but size is 8,2,"[17, 12, 10, 16, 8, 13, 4, 19, 20, 3, 18, 5, 11, 2]"
0,small,5,0.25,0.75,,maximum size for tensor at dimension 2 is 4 but size is 8,4,"[17, 12, 10, 16, 8, 13, 4, 19, 20]"
0,small,5,0.25,0.75,,maximum size for tensor at dimension 2 is 4 but size is 8,4,"[17, 12, 10, 16, 8, 13, 4, 19, 20, 3, 18]"
0,small,5,0.25,0.75,,maximum size for tensor at dimension 2 is 3 but size is 8,3,"[17, 12, 10, 16, 8, 13, 4, 19, 20, 3, 18]"
0,small,5,0.25,0.75,,maximum size for tensor at dimension 2 is 4 but size is 8,4,"[17, 12, 10, 16, 8, 13, 4, 19, 20, 3, 18, 5, 11, 2]"
0,small,5,0.25,0.75,,maximum size for tensor at dimension 2 is 3 but size is 8,3,"[17, 12, 10, 16, 8, 13, 4, 19, 20, 3, 18, 5, 11, 2]"
0,small,5,0.25,0.75,,maximum size for tensor at dimension 2 is 5 but size is 8,5,"[17, 12, 10, 16, 8, 13, 4, 19, 20, 3, 18, 5, 11, 2]"
0,small,5,0.25,0.75,,maximum size for tensor at dimension 2 is 2 but size is 8,2,"[17, 12, 10, 16, 8, 13, 4, 19, 20, 3, 18, 5, 11, 2]"
0,small,5,0.5,0.25,,maximum size for tensor at dimension 2 is 4 but size is 8,4,"[17, 12, 10, 16, 8, 13, 4, 19, 20]"
0,small,5,0.5,0.25,,maximum size for tensor at dimension 2 is 4 but size is 8,4,"[17, 12, 10, 16, 8, 13, 4, 19, 20, 3, 18]"
0,small,5,0.5,0.25,,maximum size for tensor at dimension 2 is 3 but size is 8,3,"[17, 12, 10, 16, 8, 13, 4, 19, 20, 3, 18]"
0,small,5,0.5,0.25,,maximum size for tensor at dimension 2 is 4 but size is 8,4,"[17, 12, 10, 16, 8, 13, 4, 19, 20, 3, 18, 5, 11, 2]"
0,small,5,0.5,0.25,,maximum size for tensor at dimension 2 is 3 but size is 8,3,"[17, 12, 10, 16, 8, 13, 4, 19, 20, 3, 18, 5, 11, 2]"
0,small,5,0.5,0.25,,maximum size for tensor at dimension 2 is 5 but size is 8,5,"[17, 12, 10, 16, 8, 13, 4, 19, 20, 3, 18, 5, 11, 2]"
0,small,5,0.5,0.25,,maximum size for tensor at dimension 2 is 2 but size is 8,2,"[17, 12, 10, 16, 8, 13, 4, 19, 20, 3, 18, 5, 11, 2]"
0,small,5,0.5,0.5,,maximum size for tensor at dimension 2 is 4 but size is 8,4,"[17, 12, 10, 16, 8, 13, 4, 19, 20]"
