model_size,n_epochs,dataset_percent,maskared_percent,n_windows,time,first_train_loss,first_mse,first_rmse,first_mae,first_smape,last_train_loss,last_mse,last_rmse,last_mae,last_smape,windows
small,5,0.25,0.25,1,6.492685556411743,0.0,0.0658687138689633,0.0047828336852722775,0.03839701392252947,0.3112949853373309,0.000977329327724874,0.06659691611499843,0.0048656831691396805,0.038274990662869435,0.3106785590795629,[17]
small,5,0.25,0.25,5,31.423644304275513,0.001041523413732648,0.06442269457142054,0.004508806292243671,0.037766821853781364,0.3121432629214904,0.001242228550836444,0.04604507243447197,0.002494774179594545,0.024181450717509365,0.2158306818491731,"[17, 12, 10, 16, 8]"
small,5,0.25,0.25,10,55.643433809280396,0.0005769089329987764,0.06374062966397304,0.00440521576590365,0.03730077324885401,0.31057069728605036,0.0,0.027646554769825533,0.0009162383954816558,0.010638982658104108,0.09909142066245788,"[17, 12, 10, 16, 8, 13, 4, 19, 20]"
small,5,0.25,0.5,1,6.360018253326416,0.0009517556172795594,0.05724093709265378,0.0035669636463505497,0.03278263060759706,0.2762528013212158,0.0014304365031421185,0.05825103912968597,0.0036857414570434957,0.033222979734909466,0.27794908778028404,[17]
small,5,0.25,0.5,5,31.37179398536682,0.0008712638518773019,0.057274478391255906,0.0035693571301228274,0.03303517580856774,0.2777268626370763,0.0012335848296061158,0.04387125139630106,0.0021742443903092776,0.02412283196275194,0.2140489595691845,"[17, 12, 10, 16, 8]"
small,5,0.25,0.5,10,56.147281885147095,0.0015751130413264036,0.057430964642892525,0.0035920191261043653,0.0329120010917321,0.27713845405424026,0.0,0.03131323312568432,0.0011267104827292218,0.01490277912964258,0.15514414368117718,"[17, 12, 10, 16, 8, 13, 4, 19, 20]"
small,5,0.25,0.75,1,6.325495958328247,0.0007911272696219385,0.0524151325182878,0.002845292648517884,0.029809438603902352,0.25818608245533614,0.0003943390620406717,0.052952585080894995,0.002920623874162065,0.0301648305411269,0.25915752684018895,[17]
small,5,0.25,0.75,5,31.4168062210083,0.0005581941804848611,0.052770514042477026,0.002891656675782158,0.02998615019393165,0.2579800130303439,0.000593323667999357,0.040532942453785505,0.0017765858016257929,0.022067469101076802,0.20128752671638345,"[17, 12, 10, 16, 8]"
small,5,0.25,0.75,10,56.17796993255615,0.0011803270317614079,0.053067611534673625,0.0029472196062881716,0.03003590461086341,0.2577087718566592,0.0,0.028184972406807847,0.000863874549760056,0.01438607146133663,0.15356294341403431,"[17, 12, 10, 16, 8, 13, 4, 19, 20]"
small,5,0.5,0.25,1,12.605424642562866,0.0012783660786226392,0.050217859593607944,0.0027616391284656745,0.030834567640580783,0.3510031084039892,0.002748912200331688,0.049086789830297434,0.00266989993681404,0.030296463603076945,0.34363177501716613,[17]
small,5,0.5,0.25,5,62.44282150268555,0.001182176754809916,0.04889697544431845,0.0026233432422718313,0.03021847485303264,0.34274808944631485,0.0,0.03704114185441702,0.0016081138560002607,0.019497295858741905,0.23886734156067946,"[17, 12, 10, 16, 8]"
small,5,0.5,0.25,10,112.33345770835876,0.002310209209099412,0.04957679372081136,0.0027024920663817013,0.030656878686540774,0.3477734743621963,0.0,0.019958194964101585,0.000495643075351473,0.008525286029836496,0.12291320904108274,"[17, 12, 10, 16, 8, 13, 4, 19, 20]"
small,5,0.5,0.5,1,12.54745888710022,0.00227318680845201,0.043916176190542,0.0020962260164768018,0.02639714655859554,0.31116878211259397,0.0020260135643184185,0.044223554333775124,0.002140314725949431,0.02661521399897778,0.31239592861486437,[17]
small,5,0.5,0.5,5,62.44886612892151,0.0017559597035869956,0.043693902014284206,0.002067245512170415,0.02618571694057329,0.3087307621029205,0.00073504529427737,0.03343017085909625,0.0012678119612644985,0.018851999121005665,0.24131137238200545,"[17, 12, 10, 16, 8]"
small,5,0.5,0.5,10,111.16649627685547,0.002057262696325779,0.042873573597041414,0.0019989647416191096,0.02609012948369985,0.3098312250486335,0.0,0.024098012110093596,0.0006526654137512755,0.011080640574410456,0.1719798798778725,"[17, 12, 10, 16, 8, 13, 4, 19, 20]"
small,5,0.5,0.75,1,12.594764232635498,0.0032676428090780973,0.04032899179641733,0.0016985918367897622,0.024072185901426357,0.29104489597599537,0.0021895626559853554,0.04065171048301802,0.001724527350568847,0.024102109959096438,0.2903222855847267,[17]
small,5,0.5,0.75,5,62.40923833847046,0.0015870349016040564,0.04050750831727014,0.0017085807328284103,0.0241044402503593,0.2905102534005161,0.00055591796990484,0.030252728248165633,0.0009899993619308855,0.01710711695009216,0.2274704824148517,"[17, 12, 10, 16, 8]"
small,5,0.5,0.75,10,111.30804824829102,0.0020537509117275476,0.0405425656223124,0.001720403975126033,0.024072308449968605,0.29114613323580885,0.0,0.02237237676041649,0.0005395083163746211,0.011119072201537378,0.17808812052712808,"[17, 12, 10, 16, 8, 13, 4, 19, 20]"
small,10,0.25,0.25,1,12.485226154327393,0.0017257650615647435,0.06522300647895278,0.004653958710150147,0.038278961800728525,0.31614147595497644,0.0014940741239115596,0.06456092370129082,0.004598004463374125,0.03776630784627255,0.31141588915855944,[17]
small,10,0.25,0.25,5,62.05252242088318,0.0007795185665600002,0.06752110160138816,0.005007827745620816,0.03903777789142943,0.31587626156908744,0.0,0.04987161354022713,0.002926882835513359,0.026031497914272433,0.22092292598678517,"[17, 12, 10, 16, 8]"
small,10,0.25,0.25,10,111.90442442893982,0.001504650223068893,0.06618787322261936,0.0048314771319106446,0.038359831773519294,0.30983773288388866,0.0,0.02896412232021674,0.0010261475475274574,0.011863767564088995,0.12117915527440096,"[17, 12, 10, 16, 8, 13, 4, 19, 20]"
small,10,0.25,0.5,1,12.613399982452393,0.0006488007493317127,0.05703372532108242,0.003549967708329418,0.03270093516798825,0.2766380938516435,0.001445290050469339,0.057073973963656266,0.0035196953247042437,0.03282598942483822,0.27799070018268623,[17]
small,10,0.25,0.5,5,62.61395812034607,0.0013299330603331327,0.057243839127190596,0.0035522856723350115,0.03270925571607519,0.27674169936359116,0.0004938957863487303,0.043051656013294276,0.002085970091951401,0.023686401455555686,0.2127780800716881,"[17, 12, 10, 16, 8]"
small,10,0.25,0.5,10,111.29469227790833,0.0012604431249201298,0.05757377834824326,0.0036154797069736077,0.03306931240206625,0.2784229280445938,0.0,0.030599775832821252,0.0010483133033949061,0.014400446108857103,0.1465162972751747,"[17, 12, 10, 16, 8, 13, 4, 19, 20]"
small,10,0.25,0.75,1,12.521274328231812,0.0007329871878027916,0.05265973142753526,0.002877621122943216,0.02983674296026364,0.25739541691376955,0.0008894900674931705,0.052537042597078684,0.0028659384222361134,0.0297538441589026,0.25740765434634705,[17]
small,10,0.25,0.75,5,62.46587681770325,0.0007577573996968567,0.052564294852162144,0.002867601025481321,0.02982801989961193,0.25808856123590984,0.0005271213012747467,0.03980938179296463,0.001712600892502518,0.021493359855734383,0.1994675562545357,"[17, 12, 10, 16, 8]"
small,10,0.25,0.75,10,111.74095940589905,0.0008866926655173302,0.05266486968415726,0.002882554919971515,0.029954179383026518,0.2585267173874538,0.0,0.02814779785058788,0.0008434699108195928,0.014333360362084832,0.15215691257522684,"[17, 12, 10, 16, 8, 13, 4, 19, 20]"
small,10,0.5,0.25,1,25.04205894470215,0.002798645291477442,0.04917797273789077,0.002688380549144127,0.030440518935101177,0.3456200056181881,0.0034072701819241047,0.05118923680886094,0.0028544110127908706,0.03120183098082703,0.3510581943061142,[17]
small,10,0.5,0.25,5,124.17817115783691,0.0021503446623682976,0.048712014976226264,0.002585977514038615,0.029945227842479244,0.3474280652457481,0.0,0.03437918066249851,0.0013651120252884705,0.017653968789794992,0.2202597451360467,"[17, 12, 10, 16, 8]"
small,10,0.5,0.25,10,221.1061098575592,0.003144098212942481,0.04853172862338647,0.002596472991534435,0.030055315087424185,0.3491602007934118,0.0,0.016869646936606558,0.00035424872279397315,0.007471685018172854,0.13096887848081434,"[17, 12, 10, 16, 8, 13, 4, 19, 20]"
small,10,0.5,0.5,1,25.035919427871704,0.00213078735396266,0.04441569104725121,0.0021811302393506546,0.026937453622901196,0.3146597027788127,0.0012508711079135537,0.043765116642692656,0.0020997786098576276,0.02635124331051352,0.30899350574254253,[17]
small,10,0.5,0.5,5,121.99423670768738,0.002109456341713667,0.04396919615935531,0.0020914991184511544,0.02620342053431262,0.31071111942951135,0.0003211919101886451,0.0334693634705933,0.001290766852530134,0.018889545203639356,0.2387598247835551,"[17, 12, 10, 16, 8]"
