model_size,n_epochs,dataset_percent,masked_percent,n_windows,time,first_train_loss,first_mse,first_rmse,first_mae,first_smape,last_train_loss,last_mse,last_rmse,last_mae,last_smape,windows
small,5,0.25,0.25,1,7.307454586029053,0.0013995424378663301,0.06696814396436396,0.004942138850763166,0.039211911861543144,0.31572301926715785,0.00171324098482728,0.06546940145609564,0.004761202878285482,0.03868561793585841,0.31415929599264936,[17]
small,5,0.25,0.25,5,35.52583599090576,0.001311329659074545,0.06457340075719478,0.004634973535633591,0.03849471345527022,0.3137875010440663,0.0,0.04781551241899339,0.002667437370894587,0.024402021018859858,0.20488157018092462,"[17, 12, 10, 16, 8]"
small,5,0.25,0.25,10,63.98240780830383,0.0,0.06562094099279336,0.0047525343210183014,0.038830278545095284,0.3150166227569848,0.0,0.027958560929901923,0.000961273387377757,0.011429350469420806,0.11794341099877662,"[17, 12, 10, 16, 8, 13, 4, 19, 20]"
small,5,0.25,0.5,1,7.299104452133179,0.0014766787644475698,0.05567044291202944,0.0035035171629042364,0.032755461239377504,0.27408984312968965,0.0008511980413459241,0.05467613268553503,0.0033526378948650942,0.03234429781342733,0.27394425722701654,[17]
small,5,0.25,0.5,5,35.58538103103638,0.0013157393550500274,0.05430598706462381,0.003374261744345841,0.032188066082593614,0.2731787361366579,0.0008967802859842777,0.04411754518879121,0.002253391972474703,0.02428681176334906,0.21530757932821776,"[17, 12, 10, 16, 8]"
small,5,0.25,0.5,10,63.50119185447693,0.0006121671758592129,0.05558012662080505,0.003509023937764327,0.03248534365736516,0.27305509390009985,0.0,0.03145135153782414,0.0011234521451190499,0.015505417040624726,0.1528435660652243,"[17, 12, 10, 16, 8, 13, 4, 19, 20]"
small,5,0.25,0.75,1,7.239631414413452,0.0008579040295444429,0.048883142469734256,0.002675367756910671,0.029256584191692657,0.2553953240128935,0.0017055399948731065,0.049623483318410044,0.00274279122213389,0.029412618910094997,0.2560913852400777,[17]
small,5,0.25,0.75,5,35.492512702941895,0.000597410777118057,0.049312828288597496,0.0027420441854144086,0.029351493918282748,0.2552763441577403,0.0004912044387310743,0.039577079259055334,0.00175081566833416,0.021514012155911096,0.195789490025353,"[17, 12, 10, 16, 8]"
small,5,0.25,0.75,10,63.72296118736267,0.0006325282156467438,0.04909043517458598,0.0027303336431095246,0.029307578064160095,0.2556057401741681,0.0,0.027422573157179435,0.0008331130903290368,0.014413477384439875,0.14834114448312094,"[17, 12, 10, 16, 8, 13, 4, 19, 20]"
small,5,0.5,0.25,1,14.475725173950195,0.0025064018554985523,0.04863676414799876,0.0026245525644641053,0.03059535739665526,0.3496726762319693,0.0016503704246133566,0.050422061113306146,0.002816946610144033,0.031800300204403754,0.35583459945356066,[17]
