model_size,n_epochs,dataset_percent,masked_percent,n_windows,time,first_train_loss,first_mse,first_rmse,first_mae,first_smape,last_train_loss,last_mse,last_rmse,last_mae,last_smape,windows,best_epochs,train_losses,eval_pre,eval_post
small,1,0.25,0.25,1,1.711543321609497,,,,,,,,,,,[12],[0],[0.268774217646569],"{'mse': 0.05870038445174851, 'rmse': 0.0035857068739750557, 'mae': 0.03366005879848502, 'smape': 0.2165547540508484, 'loss': 0.003341291934096565}","{'mse': [0.2993294033190871], 'rmse': [0.10156094616340969], 'mae': [0.19421997309803185], 'smape': [0.9845813816200595], 'loss': [0.09495428308016723]}"
small,1,0.25,0.25,5,7.753030300140381,,,,,,,,,,,"[8, 10, 12, 16, 17]","[0, 0, 0, 0, 0]",[0.13118572835810483],"{'mse': 0.051430807640549664, 'rmse': 0.002905178218744285, 'mae': 0.02713993801959217, 'smape': 0.1859826079327972, 'loss': 0.0027648505832379064}","{'mse': [0.1031034970728488, 0.23161275800455305, 0.1140463549224971, 0.5127488511993579, 0.33586903435089643], 'rmse': [0.013049745848838541, 0.054875235136930295, 0.03198649065193272, 0.28978139891171084, 0.12474245324180946], 'mae': [0.060181651768596994, 0.13647139771716096, 0.07000522440987055, 0.34100124183805747, 0.21129325289530243], 'smape': [0.42462473941943135, 0.8252783747189898, 0.3296466546241284, 1.357433256475674, 1.0530803084896068], 'loss': [0.012553721614595916, 0.05153117049485445, 0.03045382162478442, 0.2897813997697085, 0.12474245717749]}"
small,1,0.25,0.5,1,1.5263769626617432,,,,,,,,,,,[12],[0],[0.3039389496843796],"{'mse': 0.053128558838740375, 'rmse': 0.0028884480247528444, 'mae': 0.030611344972307716, 'smape': 0.19455602244387782, 'loss': 0.0027299352950649336}","{'mse': [0.1572236541675243], 'rmse': [0.03363935077527942], 'mae': [0.09960233054824116], 'smape': [0.6911521316664353], 'loss': [0.030800435976642702]}"
small,1,0.25,0.5,5,7.660064935684204,,,,,,,,,,,"[8, 10, 12, 16, 17]","[0, 0, 0, 0, 0]",[0.19672912952373736],"{'mse': 0.048077709195526626, 'rmse': 0.002447617241393026, 'mae': 0.025632616179063917, 'smape': 0.18620233121921528, 'loss': 0.0022453298572347397}","{'mse': [0.11879557670364582, 0.19080348937248698, 0.2207730982929078, 0.18360689071078587, 0.6081725979123718], 'rmse': [0.024208039269698785, 0.041566201093470735, 0.07469950642415055, 0.049965353787560556, 0.38740003488272057], 'mae': [0.06679658524674148, 0.11146895815752661, 0.13651832868254837, 0.11735843987298722, 0.37032146185356396], 'smape': [0.33877631752385484, 0.6654261981320436, 0.6752218652921008, 0.592881624082183, 1.4713112238698725], 'loss': [0.02219393937331107, 0.03891043918621209, 0.06980781526201302, 0.049965353799052536, 0.3874000236392021]}"
small,1,0.25,0.75,1,1.5515718460083008,,,,,,,,,,,[12],[0],[0.19095754236914217],"{'mse': 0.0701767382654174, 'rmse': 0.005008964856925111, 'mae': 0.04015818777513987, 'smape': 0.23348266556241987, 'loss': 0.0045777417641753955}","{'mse': [0.20639087510895188], 'rmse': [0.04480660027362465], 'mae': [0.1296229068245811], 'smape': [0.6993089210408747], 'loss': [0.042063552161885634]}"
small,1,0.25,0.75,5,7.635501861572266,,,,,,,,,,,"[8, 10, 12, 16, 17]","[0, 0, 0, 0, 0]",[0.06477985340170563],"{'mse': 0.050997351455092835, 'rmse': 0.0026465370192327612, 'mae': 0.027357884535180906, 'smape': 0.1916178386414484, 'loss': 0.0024816221104831332}","{'mse': [0.15004142012663527, 0.2166850100849808, 0.14907246834587662, 0.24952036921966883, 0.14998793913351602], 'rmse': [0.03541853666778384, 0.05319806508114113, 0.027180447391181573, 0.0961548946454254, 0.02697999968830847], 'mae': [0.07142905748108974, 0.11541741400724276, 0.0826871141948369, 0.126191423090404, 0.07917886339873803], 'smape': [0.43232520773728855, 0.5861564253064298, 0.6119761743530083, 0.6086964292724169, 0.5538407588657683], 'loss': [0.03224560998690625, 0.0484963319160872, 0.024962734249937866, 0.09615489767747931, 0.02697999993688427]}"
small,1,0.5,0.25,1,3.0559332370758057,,,,,,,,,,,[12],[0],[0.13571282322700426],"{'mse': 0.062162005336969375, 'rmse': 0.003953461613382285, 'mae': 0.03552271500897644, 'smape': 0.20645473953800317, 'loss': 0.00363929072369097}","{'mse': [0.30162781322095045], 'rmse': [0.10312149335339518], 'mae': [0.19938604635648544], 'smape': [0.9653749103155693], 'loss': [0.0933489470432202]}"
small,1,0.5,0.25,5,15.173842906951904,,,,,,,,,,,"[8, 10, 12, 16, 17]","[0, 0, 0, 0, 0]",[0.25350795838385237],"{'mse': 0.054339518238235476, 'rmse': 0.0030708736355654687, 'mae': 0.029688098339829595, 'smape': 0.19407481030106477, 'loss': 0.0028276072310594222}","{'mse': [0.1959724895535347, 0.4587814366387797, 0.5467845962513056, 0.13445771562202696, 0.15388557403575498], 'rmse': [0.05122331556992442, 0.22374648570410186, 0.32901255145577646, 0.02019370462690779, 0.024414713546194972], 'mae': [0.12237042512323779, 0.3001449118860854, 0.34778681689739777, 0.08220639349929115, 0.09604565271456522], 'smape': [0.8422682252021882, 1.1753449830844689, 1.3314990017017718, 0.4880883342541913, 0.6581710085898935], 'loss': [0.047680904157459736, 0.3296303037140105, 0.297358228928513, 0.020193704636767507, 0.024414713610894978]}"
small,1,0.5,0.5,1,2.990978956222534,,,,,,,,,,,[12],[0],[0.10166710029589013],"{'mse': 0.05789730139183612, 'rmse': 0.0034679152827009818, 'mae': 0.03220495097330129, 'smape': 0.22998862537637726, 'loss': 0.0032338573752592006}","{'mse': [0.27902884972021885], 'rmse': [0.08453651602076459], 'mae': [0.1722930783745219], 'smape': [0.7208206109331488], 'loss': [0.07694294614096482]}"
small,1,0.5,0.5,5,14.945196628570557,,,,,,,,,,,"[8, 10, 12, 16, 17]","[0, 0, 0, 0, 0]",[0.08525295559084042],"{'mse': 0.05191497730908954, 'rmse': 0.002864157042968927, 'mae': 0.029087516896050568, 'smape': 0.1982254982313263, 'loss': 0.002631836923279075}","{'mse': [0.2452985291535481, 0.2055672351144091, 0.16248132882683966, 0.10660292002137248, 0.23476457540594012], 'rmse': [0.08290828976623393, 0.05111114191521047, 0.03852871090270784, 0.014846918419703578, 0.07185904496428137], 'mae': [0.152327793609136, 0.1246885617603906, 0.09461313034877065, 0.06408441953294641, 0.13703927613869382], 'smape': [0.8369713989818188, 0.6731831531250396, 0.512239719229657, 0.4288152518467687, 0.9650988436061384], 'loss': [0.07552625363071759, 0.04802525397907528, 0.0363408941258159, 0.014846918114926666, 0.07185905150254257]}"
